no,name,brand,category,img,emoji,has_settings,inputs,outputs,func,ports_raw
26,Elgato Cam Link 4K,Elgato,Capture Card Eksternal,,🔧,0,USB 3.0|USB; HDMI In|HDMI,,Dongle untuk mengubah sinyal kamera DSLR menjadi webcam di PC,"USB 3.0, HDMI In"
27,Magewell USB Capture HDMI Gen 2,Magewell,Capture Card Eksternal,,🔧,0,USB 3.0|USB; HDMI In|HDMI,,Dongle andalan broadcaster yang tidak butuh instal driver (Plug & Play),"USB 3.0, HDMI In"
28,LiveU Solo Pro,LiveU,Hardware Encoder,/images_real/real_0027.jpg,🔧,0,SDI|SDI; HDMI|HDMI; 4x USB|USB,,Menggabungkan 4 jaringan seluler (Bonding) agar internet outdoor stabil,"SDI, HDMI, 4x USB"
29,Teradek VidiU X,Teradek,Hardware Encoder,,🔧,0,HDMI In|HDMI; Wi-Fi|Other; LAN|LAN,,Mengirim video RTMP langsung ke YouTube/Twitch tanpa komputer,"HDMI In, Wi-Fi, LAN"
30,Kiloview E2 NDI,Kiloview,Hardware Encoder,,🔧,0,HDMI In|HDMI; LAN|LAN,,Mengubah sinyal HDMI kamera menjadi sinyal jaringan (IP/NDI),"HDMI In, LAN"
31,Shure SM7B,Shure,Mikrofon Dinamis,/images_real/real_0030.jpg,🔧,0,XLR (3-Pin)|Audio,,Standar industri podcast. Butuh gain tinggi. Sangat kedap suara luar.,XLR (3-Pin)
32,Electro-Voice RE20,Electro-Voice,Mikrofon Dinamis,/images_real/real_0031.jpg,🔧,0,XLR (3-Pin)|Audio,,Anti-proximity effect; suara bass tetap konsisten meski bergerak,XLR (3-Pin)
33,Rode PodMic,Rode,Mikrofon Dinamis,,🔧,0,XLR (3-Pin)|Audio,,Mic berat dan kokoh khusus dioptimalkan untuk suara ucapan,XLR (3-Pin)
34,Elgato Wave DX,Elgato,Mikrofon Dinamis,,🔧,0,XLR (3-Pin)|Audio,,Mic ringkas anti noise yang sempurna digabung dengan Wave XLR,XLR (3-Pin)
35,Audio-Technica AT2020,Audio-Technica,Mikrofon Kondensor,,🔧,0,XLR (3-Pin)|Audio,,Sensitif menangkap detail suara tapi butuh ruangan kedap suara,XLR (3-Pin)
36,Neumann U87 Ai,Neumann,Mikrofon Kondensor,,🔧,0,XLR (3-Pin)|Audio,,Standar vokal studio musik ultra-premium (untuk streaming musik),XLR (3-Pin)
37,Sennheiser MKH 416,Sennheiser,Mikrofon Shotgun,/images_real/real_0036.jpg,🔧,0,XLR (3-Pin)|Audio,,Mengambil suara vokal sangat fokus dari luar frame kamera (di atas kepala),XLR (3-Pin)
38,Rode Wireless PRO,Rode,Mikrofon Wireless,/images_real/real_0037.jpg,🔧,0,3.5mm TRS|Audio; USB-C|USB,,Mic clip-on 32-bit float (audio tidak akan pernah pecah meski berteriak),"3.5mm TRS, USB-C"
39,DJI Mic 2,DJI,Mikrofon Wireless,,🔧,0,3.5mm|Audio; Bluetooth|Wireless,,Mic Lavalier ringkas dengan noise cancelling pintar,"3.5mm, Bluetooth"
40,Triton Audio FetHead,Triton,Preamp Inline,,🔧,0,XLR In & Out|Audio,,Preamp colok langsung ke mic yang lebih kecil dari Cloudlifter,XLR In & Out
41,Focusrite Scarlett 2i2 4th Gen,Focusrite,Audio Interface,,🔧,0,2x Combo XLR|Audio; USB-C|USB,,Soundcard pengubah sinyal mic analog ke digital PC,"2x Combo XLR, USB-C"
42,Audient iD14 MKII,Audient,Audio Interface,,🔧,0,2x XLR|Audio; Optical In|Other,,Preamp bersih setara konsol studio besar,"2x XLR, Optical In"
43,Elgato Wave XLR,Elgato,Audio Interface,,🔧,0,1x XLR|Audio; USB-C|USB,,Soundcard ringkas dengan tombol mute kapasitif dan software Wave Link,"1x XLR, USB-C"
44,RodeCaster Pro II,RodeCaster,Audio Mixer Digital,,🔧,0,4x XLR|Audio; 2x USB-C|USB,,Pusat kendali audio dengan fader bermotor dan koneksi ke 2 PC sekaligus,"4x XLR, 2x USB-C"
45,TC Helicon GoXLR,TC,Audio Mixer Digital,,🔧,0,1x XLR|Audio; Line|Audio; Optical|Other,,Mixer streamer populer dengan sampler dan voice effect built-in,"1x XLR, Line, Optical"
46,Yamaha ZG01,Yamaha,Audio Mixer Digital,,🔧,0,XLR|Audio; HDMI In-Out|HDMI,,Audio mixer khusus game yang mengatur jalur suara dan chat terpisah,"XLR, HDMI In-Out"
47,Yamaha MG10XU,Yamaha,Audio Mixer Analog,,🔧,0,4x XLR|Audio; USB Out|USB,,Mixer klasik dengan knob fisik untuk EQ dan kompresor instan,"4x XLR, USB Out"
48,Shure SE215,Shure,In-Ear Monitor (IEM),,🔧,0,3.5mm TRS|Audio,,Earphone isolasi tinggi untuk memantau suara (monitoring) tanpa delay,3.5mm TRS
49,KZ ZSN Pro X,KZ,In-Ear Monitor (IEM),/images_real/real_0048.jpg,🔧,0,3.5mm TRS|Audio,,Alternatif budget untuk memisahkan suara game tanpa bocor ke mic,3.5mm TRS
50,Beyerdynamic DT 770 PRO,Beyerdynamic,Headphone Studio,/images_real/real_0049.JPG,🔧,0,"3.5mm|Audio; 1|Other; 4"" Adapter|Other",,Headphone tertutup (closed-back) standar broadcast,"3.5mm, 1, 4"" Adapter"
51,Shure PSM 300,Shure,Wireless IEM System,,🔧,0,XLR In|Audio; Receiver Beltpack|Power,,Sistem monitor telinga nirkabel untuk pergerakan bebas di studio,"XLR In, Receiver Beltpack"
52,Rode PSA1+,Rode,Aksesori Mic,,🔧,0,Boom Arm|Other,,Lengan pegas meja untuk menahan mikrofon yang berat tanpa bersuara,Boom Arm
53,Elgato Wave Mic Arm LP,Elgato,Aksesori Mic,,🔧,0,Boom Arm (Low Profile)|Other,,Menyelinap dari bawah layar monitor agar tidak menutupi wajah streamer,Boom Arm (Low Profile)
54,On-Stage ASVS4B,On-Stage,Aksesori Mic,,🔧,0,Pop Filter|LAN,,Layar kain jaring untuk meredam tiupan angin dari pengucapan P/B/T,Pop Filter
55,Rode DeadCat,Rode,Aksesori Mic,/images_real/real_0054.jpg,🔧,0,Windshield|Other,,Bulu peredam angin untuk mic shotgun jika streaming outdoor,Windshield
56,Belkin Ultra HD High Speed,Belkin,Kabel Video,,🔧,0,HDMI 2.1 (Tipe A)|HDMI,,Kabel 48Gbps wajib untuk passthrough game 4K 120Hz,HDMI 2.1 (Tipe A)
57,Ugreen Fiber Optic HDMI,Ugreen,Kabel Video,,🔧,0,HDMI (AOC)|HDMI,,Menyalurkan video jarak 20 meter via optik cahaya tanpa delay/putus,HDMI (AOC)
58,Canare L-4.5CHD (Neutrik),Canare,Kabel Video,,🔧,0,BNC (SDI)|SDI,,Kabel standar TV coaxial tebal tahan banting untuk tarikan 100 meter,BNC (SDI)
59,SmallRig Ultra Slim HDMI,SmallRig,Kabel Video,,🔧,0,HDMI to Micro HDMI|HDMI,,Kabel sangat tipis dan fleksibel agar tidak membebani port kamera,HDMI to Micro HDMI
60,Blackmagic Micro Converter BiDirectional,Blackmagic,Konverter Video,,🔧,0,SDI in|SDI; out|Other; HDMI in|HDMI; out|Other,,Mengubah sinyal SDI ke HDMI atau sebaliknya secara instan di lapangan,"SDI in, out, HDMI in, out"
61,Ugreen Active DP to HDMI,Ugreen,Konverter Video,,🔧,0,DisplayPort|HDMI; HDMI|HDMI,,Wajib tipe ACTIVE untuk menyambung dari GPU DisplayPort ke Switcher HDMI,"DisplayPort, HDMI"
62,Mogami Gold Studio,Mogami,Kabel Audio,,🔧,0,XLR Male to Female|Audio,,Kabel mic tembaga murni dengan penolakan noise sinyal tingkat tinggi,XLR Male to Female
63,Hosa CMP-153,Hosa,Kabel Audio,,🔧,0,"3.5mm TRS to Dual 1|Audio; 4"" TS|Other",,Kabel splitter dari PC menuju line-in Audio Mixer analog,"3.5mm TRS to Dual 1, 4"" TS"
64,Rode SC3 Adapter,Rode,Kabel Audio,,🔧,0,TRRS Female to TRS Male|Audio,,Mengubah colokan mic clip-on HP (3 garis) agar bisa masuk ke kamera,TRRS Female to TRS Male
65,KabelDirekt TOSLINK,KabelDirekt,Kabel Audio,,🔧,0,S|Other; PDIF Optical|Other,,Menyalurkan audio konsol ke PC tanpa resiko dengung (ground loop),"S, PDIF Optical"
66,Anker PowerLine+ USB-C,Anker,Kabel Data,,🔧,0,USB-C to USB-C 3.1|USB,,Kabel tebal kapasitas tinggi untuk data webcam 4K 60fps,USB-C to USB-C 3.1
67,Orico 7-Port Powered Hub,Orico,Kabel Data,,🔧,0,USB-B (Host)|USB; USB-A (Alat)|USB; DC Power|LAN,,Terminal USB bercabang yang punya colokan listrik sendiri agar alat tidak drop,"USB-B (Host), USB-A (Alat), DC Power"
68,Ugreen USB 3.0 Active Extension,Ugreen,Kabel Data,,🔧,0,USB Male to Female|USB,,Kabel sambungan 10m dengan chip penguat (repeater) di tengahnya,USB Male to Female
69,Belden Cat6a Ethernet,Belden,Kabel Jaringan,,🔧,0,RJ45|LAN,,Kabel LAN tembaga tebal untuk transfer NDI Protocol tanpa macet,RJ45
70,Netgear GS308PP PoE+ Switch,Netgear,Networking,,🔧,0,RJ45 (Ethernet)|LAN,,Terminal LAN yang menyuntikkan daya listrik langsung ke Kamera PTZ,RJ45 (Ethernet)
71,PAC SNI-1/3.5,PAC,Isolator,/images_real/real_0070.jpg,🔧,0,3.5mm In|Audio; Out|Other,,Ground Loop Isolator pembunuh suara dengung di kabel aux,"3.5mm In, Out"
72,Furman M-8x2 Power Conditioner,Furman,Isolator,,🔧,0,Colokan Listrik AC|Power,,Penyaring tegangan listrik kotor penyebab suara hum/buzz di speaker studio,Colokan Listrik AC
73,Godox SL60W,Godox,Pencahayaan,,🔧,0,Lampu COB|Other; Listrik AC|Power,,Lampu sorot utama (Key Light) populer yang stabil dan sangat terang,"Lampu COB, Listrik AC"
74,Amaran 100x Bi-Color,Amaran,Pencahayaan,,🔧,0,Lampu COB|Other; Listrik AC|Power,,Lampu utama yang bisa diganti suhu warnanya (kuning hangat ke putih),"Lampu COB, Listrik AC"
75,Elgato Key Light,Elgato,Pencahayaan,,🔧,0,Panel LED|Other; Listrik AC|Power,,Lampu kotak tipis di ujung meja yang bisa dikontrol dari Stream Deck,"Panel LED, Listrik AC"
76,Logitech Litra Glow,Logitech,Pencahayaan,,🔧,0,Lampu Mini|Other; USB|USB,,Dipasang di atas monitor untuk mengisi cahaya wajah tanpa bikin silau,"Lampu Mini, USB"
77,Godox SB-UE 80cm,Godox,Modifikasi Cahaya,,🔧,0,Softbox Octagon|Other,,Payung pemantul cahaya agar bayangan di wajah streamer terlihat lembut,Softbox Octagon
78,Aputure Light Dome Mini II,Aputure,Modifikasi Cahaya,,🔧,0,Softbox|Other; Grid|Other,,Sarang lebah penahan cahaya agar lampu fokus ke wajah dan tidak bocor ke latar,"Softbox, Grid"
79,Philips Hue Play Light Bar,Philips,Lampu Estetika,/images_real/real_0078.jpg,🔧,0,RGB|Other; AC Adapter|Power,,Lampu dinding tersinkronisasi software untuk efek bias warna-warni di belakang,"RGB, AC Adapter"
80,Aputure MC RGBWW,Aputure,Lampu Estetika,,🔧,0,Lampu Mini|Other; Baterai Internal|Other,,Lampu aksen yang ditempel via magnet ke rak meja untuk mewarnai properti studio,"Lampu Mini, Baterai Internal"
81,Govee Glide RGBIC,Govee,Lampu Estetika,,🔧,0,Smart Wall Light|Other; Listrik AC|Power,,Tabung garis LED di dinding yang menambah nuansa gaming/podcast,"Smart Wall Light, Listrik AC"
82,Elgato Stream Deck XL,Elgato,Kontrol Stream,,🔧,0,Kabel USB-C|USB,,Perangkat 32 tombol makro LCD untuk mengganti scene OBS dan sound effect,Kabel USB-C
83,Loupedeck Live,Loupedeck,Kontrol Stream,,🔧,0,Kabel USB-C|USB,,Konsol taktil dengan knob putar fisik (cocok untuk atur volume mic perlahan),Kabel USB-C
84,Skaarhoj PTZ Pro,Skaarhoj,Kontrol Stream,,🔧,0,Kabel LAN (IP)|LAN,,Joystick broadcast untuk menggerakkan banyak kamera PTZ dari jarak jauh,Kabel LAN (IP)
85,Elgato Prompter,Elgato,Teleprompter,,🔧,0,USB-C (Layar)|USB; Penjepit Kamera|Other,,Layar baca chat dari kaca pantul agar mata streamer selalu menatap lensa,"USB-C (Layar), Penjepit Kamera"
86,Glide Gear TMP 100,Glide,Teleprompter,,🔧,0,Mounting iPad|LAN,,Kerangka teleprompter manual berukuran besar untuk tablet dan lensa zoom,Mounting iPad
87,Elgato Green Screen Collapsible,Elgato,Green Screen,,🔧,0,Layar Hijau Gulung|Other,,Layar chroma key anti kusut yang ditarik dari kotak penyimpanannya di lantai,Layar Hijau Gulung
88,APC Back-UPS Pro 1500VA,APC,Daya Cadangan,,🔧,0,Stopkontak AC|Power; Kabel Data USB|USB,,Baterai UPS raksasa. Menjaga PC dan internet tetap hidup 15 menit jika mati listrik,"Stopkontak AC, Kabel Data USB"
89,Elgato Master Mount L,Elgato,Mounting,,🔧,0,Ulir 1|Other; 4 Inci|Other; Jepitan Meja|Other,,Tiang meja multifungsi pengunci lampu dan kamera tanpa bor dinding,"Ulir 1, 4 Inci, Jepitan Meja"
90,SmallRig Magic Arm 2070,SmallRig,Mounting,,🔧,0,Engsel Artikulasi|Other,,Lengan sendi fleksibel untuk menjepit monitor preview kecil ke bodi kamera,Engsel Artikulasi
91,SmallRig HDMI Cable Clamp,SmallRig,Mounting,,🔧,0,Baut sangkar kamera|Other,,Besi kecil yang mengunci colokan HDMI kamera agar tidak patah tersenggol,Baut sangkar kamera
92,NVIDIA RTX 4090 / 4080,NVIDIA,PC Komponen,,🔧,0,Slot PCIe x16|Other,,GPU wajib untuk rendering codec AV1 generasi terbaru (bitrate rendah gambar tajam),Slot PCIe x16
93,AMD Ryzen 9 7950X,AMD,PC Komponen,,🔧,0,Soket AM5|Other,,Prosesor 16 core mumpuni untuk encoding CPU (x264) preset Slow tanpa frame drop,Soket AM5
94,Corsair Vengeance 64GB,Corsair,PC Komponen,/images_real/real_0093.jpg,🔧,0,Slot RAM DDR5|Other,,Memori kapasitas masif untuk menjalankan game dan vMix/OBS berbarengan,Slot RAM DDR5
95,Samsung 990 PRO 2TB,Samsung,PC Komponen,/images_real/real_0094.jpg,🔧,0,Slot M.2 NVMe|Other,,SSD kecepatan sangat tinggi untuk recording ProRes dari multi-kamera tanpa delay,Slot M.2 NVMe
96,Neutrik NA2MP-MM,Neutrik,Audio Adapter,,🔧,0,XLR Male to RCA Male|Audio,,Konektor kelas studio untuk menyambung output RCA ke input XLR tanpa dengung,XLR Male to RCA Male
97,Neutrik NA2FP-MM,Neutrik,Audio Adapter,,🔧,0,XLR Female to RCA Male|Audio,,Konektor penyambung dari kabel XLR ke input RCA audio interface/mixer,XLR Female to RCA Male
98,Rode VXLR+,Rode,Audio Adapter,,🔧,0,3.5mm TRS to XLR|Audio,,Mengubah mic lavalier clip-on (3.5mm) agar bisa masuk ke port XLR dengan konversi Phantom Power,3.5mm TRS to XLR
99,Rode SC4,Rode,Audio Adapter,,🔧,0,3.5mm TRS to TRRS|Audio,,Kabel adaptor mengubah colokan mic dari kamera (TRS) agar terbaca di combo jack laptop (TRRS),3.5mm TRS to TRRS
100,Saramonic SR-AX100,Saramonic,Audio Adapter,,🔧,0,2x 3.5mm In to 1x 3.5mm Out|Audio,,Mixer pasif mini yang ditempel di rangka kamera untuk menggabung 2 mic clip-on sekaligus,2x 3.5mm In to 1x 3.5mm Out
101,Zoom EXH-6,Zoom,Audio Adapter,/images_real/real_0100.jpg,🔧,0,2x XLR Combo In|Audio,,Kapsul ekspansi untuk perekam Zoom (H5/H6) agar bisa menambah 2 jalur mic XLR ekstra,2x XLR Combo In
102,Kopul A-132,Kopul,Audio Adapter,,🔧,0,"3.5mm Female to 1|Audio; 4"" Male|Other",,Jack besi emas tebal untuk mencolok earphone 3.5mm ke lubang output headphone audio mixer besar,"3.5mm Female to 1, 4"" Male"
103,Canare L-2T2S (Custom),Canare,Kabel Audio Tambahan,,🔧,0,XLR Male to Female|Audio,,Kabel mic rakitan standar panggung dengan tembaga murni (fleksibel dan anti-kusut),XLR Male to Female
104,Hosa YPP-118,Hosa,Kabel Audio Tambahan,,🔧,0,"1|Other; 4"" TRS to Dual 1|Audio; 4"" TRSF|Audio",,Kabel pencabang (Y-Splitter) untuk membagi 1 colokan headphone agar bisa dipakai 2 orang,"1, 4"" TRS to Dual 1, 4"" TRSF"
105,Hosa CMP-159,Hosa,Kabel Audio Tambahan,/images_real/real_0104.jpg,🔧,0,"3.5mm TRS to Dual 1|Audio; 4"" TS|Other",,Kabel dari PC/Laptop menuju dua channel input (kiri & kanan) di mixer audio analog,"3.5mm TRS to Dual 1, 4"" TS"
106,Mogami 2534 Neglex,Mogami,Kabel Audio Tambahan,,🔧,0,XLR Quad Cable|Audio,,Kabel mic ultra-premium dengan lilitan 4 jalur untuk studio (mutlak menolak distorsi elektromagnetik),XLR Quad Cable
107,Rode SC1,Rode,Kabel Audio Tambahan,/images_real/real_0106.jpg,🔧,0,3.5mm TRRS Extension|Audio,,Kabel perpanjangan sepanjang 6 meter yang kabelnya tidak mengurangi kualitas suara lavalier,3.5mm TRRS Extension
108,AmazonBasics Subwoofer Cable,AmazonBasics,Kabel Audio Tambahan,,🔧,0,RCA Male to Male|Audio,,Kabel koaksial tebal pelindung frekuensi radio untuk koneksi S/PDIF (Digital Audio),RCA Male to Male
109,Hosa OPT-110,Hosa,Kabel Audio Tambahan,,🔧,0,TOSLINK Fiber Optic 3m|Other,,Mengirimkan audio konsol game ke PC tanpa resiko dengung (Ground Loop),TOSLINK Fiber Optic 3m
110,dbx 286s,dbx,Pemroses Audio Fisik,/images_real/real_0109.jpg,🔧,0,"XLR In|Audio; 1|Other; 4"" Out|Other",,Channel strip hardware berisi Preamp/De-esser/Kompresor fisik sebelum suara masuk ke PC,"XLR In, 1, 4"" Out"
111,Behringer MDX2600 V2,Behringer,Pemroses Audio Fisik,,🔧,0,XLR In & Out|Audio,,Kompresor fisik agar teriakan heboh streamer game tidak membuat audio mendadak pecah (clipping),XLR In & Out
112,Mackie HM-4,Mackie,Pemroses Audio Fisik,/images_real/real_0111.jpg,🔧,0,"1|Other; 4"" In|Other; 4x 1|Other; 4"" Out|Other",,Amplifier pembagi headphone agar 4 tamu di studio podcast bisa mengatur volumenya sendiri-sendiri,"1, 4"" In, 4x 1, 4"" Out"
113,Radial ProDI,Radial,Pemroses Audio Fisik,/images_real/real_0112.jpg,🔧,0,"1|Other; 4"" In|Other; XLR Out|Audio",,Direct Box pasif untuk mengubah sinyal gitar listrik/bass menjadi sinyal XLR yang aman,"1, 4"" In, XLR Out"
114,Behringer UCA202,Behringer,Pemroses Audio Fisik,/images_real/real_0113.jpg,🔧,0,RCA In|Audio; Out|Other; USB|USB,,USB audio interface cadangan super murah penyambung output mixer utama ke laptop backup,"RCA In, Out, USB"
115,Roland VT-4,Roland,Pemroses Audio Fisik,/images_real/real_0114.jpeg,🔧,0,XLR In|Audio; Line Out|Audio,,Hardware voice transformer (pengubah vokal autotune / robot / pitch) diproses tanpa beban CPU PC,"XLR In, Line Out"
116,Orei 4K HDMI Splitter 1x4,Orei,Video Splitter / Matrix,,🔧,0,1x HDMI In|HDMI; 4x HDMI Out|HDMI,,Membagi 1 layar PS5 ke 4 monitor (host/tamu/capture card) tanpa delay sepersekian detik,"1x HDMI In, 4x HDMI Out"
117,Kinivo 501BN 4K,Kinivo,Video Splitter / Matrix,,🔧,0,5x HDMI In|HDMI; 1x HDMI Out|HDMI,,HDMI Switcher untuk colok mati 5 konsol berbeda dan dipilih inputnya pakai remote ke capture card,"5x HDMI In, 1x HDMI Out"
118,Decimator 12G-CROSS,Decimator,Video Splitter / Matrix,/images_real/real_0117.jpg,🔧,0,HDMI & SDI In|HDMI; Out|Other,,Cross-converter ajaib penyelamat event; menyamakan frame rate beda merek kamera menjadi sama,"HDMI & SDI In, Out"
119,Blackmagic Smart Videohub 12x12,Blackmagic,Video Splitter / Matrix,,🔧,0,12x SDI In|SDI; 12x SDI Out|SDI,,Router matriks SDI skala besar untuk membagi jalur banyak kamera dan grafis ke berbagai layar,"12x SDI In, 12x SDI Out"
120,Belkin USB-C to HDMI,Belkin,Kabel Video Lanjutan,,🔧,0,USB-C|USB; HDMI|HDMI,,Kabel untuk melempar slide presentasi iPad/Macbook langsung masuk ke ATEM Switcher,"USB-C, HDMI"
121,Apple Lightning to Digital AV,Apple,Kabel Video Lanjutan,/images_real/real_0120.jpg,🔧,0,Lightning|Other; HDMI In|HDMI,,Dongle orisinal Apple (ada chip di dalamnya) untuk menyiarkan layar iPhone game mobile ke PC,"Lightning, HDMI In"
122,UGREEN Mini DisplayPort to HDMI,UGREEN,Kabel Video Lanjutan,,🔧,0,Mini DP|Other; HDMI|HDMI,,Menyambung laptop lawas Apple atau output grafis cadangan ke sistem HDMI,"Mini DP, HDMI"
123,SmallRig Ultra-Thin 4K HDMI,SmallRig,Kabel Video Lanjutan,,🔧,0,HDMI Tipe A|HDMI,,Kabel HDMI lemas (noodle cable) agar pergerakan kamera di atas gimbal stabil (kabel kaku akan menahan motor),HDMI Tipe A
124,Atomos HDMI Coiled Cable,Atomos,Kabel Video Lanjutan,,🔧,0,Micro HDMI to Full HDMI|HDMI,,Kabel HDMI spiral/per yang bisa merenggang 30cm hingga 60cm agar rapi di atas kamera,Micro HDMI to Full HDMI
125,Atomos Ninja V,Atomos,Monitor / Layar Eksternal,,🔧,0,HDMI In|HDMI; Out|Other; Baterai NP-F|Power,,Layar preview 5 inci 1000 nit yang sanggup merekam langsung layar kamera ke SSD secara independen,"HDMI In, Out, Baterai NP-F"
126,Feelworld FW568 V2,Feelworld,Monitor / Layar Eksternal,,🔧,0,HDMI In|HDMI; Out|Other; Baterai NP-F|Power,,Monitor asisten kamera murah untuk memastikan fokus mata tepat sebelum live stream dimulai,"HDMI In, Out, Baterai NP-F"
127,Portkeys BM5 III WR,Portkeys,Monitor / Layar Eksternal,,🔧,0,SDI|SDI; HDMI In|HDMI,,Monitor bodi logam ultra terang (2200 nit) khusus untuk streaming terpapar matahari di luar ruangan,"SDI, HDMI In"
128,Lilliput A11,Lilliput,Monitor / Layar Eksternal,,🔧,0,HDMI|HDMI; SDI|SDI; VGA In|HDMI,,Monitor direktur 10 inci; ditaruh di bawah meja agar host bisa melihat dirinya sendiri saat live,"HDMI, SDI, VGA In"
129,Sony NP-F970 Battery,Sony,Aksesori Monitor Baterai,/images_real/real_0128.jpg,🔧,0,Slot Baterai NP-F|Power,,Baterai kapasitas masif (bisa tahan 4 jam) penyokong daya monitor layar terang atau lampu LED,Slot Baterai NP-F
